id,empresa,endereco,state,country,email,vendedor,ip_address,valor,data
1,Topicblab,70435 6th Place,,Vietnam,lroly0@soup.io,Lalo Roly,216.103.36.56,$14513.22,7/27/2018
2,Dynazzy,9 Jenifer Parkway,Porto,Portugal,jtokley1@blog.com,Jsandye Tokley,178.214.94.227,$51137.89,12/24/2017
3,Realfire,174 Reinke Trail,,Egypt,acastiglioni2@whitehouse.gov,Aridatha Castiglioni,187.115.17.70,$77080.55,7/24/2018
4,Wikivu,171 Melvin Drive,Île-de-France,France,smish3@google.it,Sascha Mish,179.95.74.94,$4488.55,2/21/2018
5,Vinder,76 Memorial Avenue,,Finland,hscamp4@spotify.com,Heda Scamp,96.179.158.20,$25534.08,5/1/2018
6,Realpoint,2 Westerfield Alley,,Nigeria,bivanchin5@ted.com,Brocky Ivanchin,230.186.247.141,$12817.82,10/28/2018
7,Flipopia,153 Shoshone Pass,,Uzbekistan,kstaden6@xing.com,Kendre Staden,186.160.142.50,$34440.53,4/30/2018
8,Fanoodle,51147 Nevada Lane,,Ukraine,ptolchar7@quantcast.com,Petrina Tolchar,25.28.227.113,$14204.14,12/23/2017
9,Skipfire,017 Fuller Hill,,Bulgaria,foldridge8@biglobe.ne.jp,Frederich Oldridge,78.81.143.166,$74462.50,4/16/2018
10,Oloo,6589 Dottie Circle,,Peru,tsteade9@phpbb.com,Tynan Steade,167.225.12.135,$54752.48,2/17/2018
11,Skaboo,40356 Artisan Drive,Languedoc-Roussillon,France,tlisa@ifeng.com,Tallulah Lis,72.218.13.121,$886.87,3/16/2018
12,Demizz,3884 Anniversary Lane,,China,fbanceb@ocn.ne.jp,Francisco Bance,53.102.130.129,$82455.67,3/13/2018
13,Topiczoom,70976 Westend Junction,,Russia,wstonehousec@umich.edu,Willie Stonehouse,101.133.77.80,$15652.39,5/10/2018
14,Skyvu,28513 Charing Cross Terrace,Picardie,France,cbockend@nbcnews.com,Chico Bocken,119.155.230.45,$47555.22,7/3/2018
15,Oyoba,08325 Starling Alley,,China,bdirkine@nasa.gov,Bamby Dirkin,41.64.249.181,$41264.83,2/24/2018
16,Muxo,26 Prairieview Terrace,,China,cpiscof@xing.com,Chicky Pisco,44.164.129.190,$28416.74,3/3/2018
17,Bubblemix,938 Sundown Point,,Macedonia,ldilaweyg@tiny.cc,Lin Dilawey,92.71.90.26,$85267.84,2/27/2018
18,Yadel,054 Sunfield Crossing,,Indonesia,hmatuszinskih@engadget.com,Honey Matuszinski,38.126.167.122,$89880.80,5/16/2018
19,Dabtype,99 High Crossing Street,,China,hturfusi@goo.gl,Hercules Turfus,101.217.48.211,$1352.04,8/23/2018
20,Buzzshare,37 Gulseth Pass,,Indonesia,nioanj@sphinn.com,Nannie Ioan,68.38.77.110,$86171.26,5/22/2018
21,Dynazzy,2177 Macpherson Center,,Brazil,hmclenahank@hhs.gov,Hillard McLenahan,243.129.33.222,$1849.13,10/17/2018
22,Riffwire,84257 Oak Valley Alley,,Russia,schaperlingl@mit.edu,Sharai Chaperling,23.44.108.123,$13221.57,3/19/2018
23,Cogilith,87 Bobwhite Lane,,China,mbreesem@cam.ac.uk,Matthias Breese,125.239.59.113,$44782.58,12/2/2017
24,Wordify,1 Lillian Place,,Morocco,anorthingn@plala.or.jp,Ali Northing,118.62.92.240,$7450.89,5/13/2018
25,Skilith,105 Hollow Ridge Center,,Vietnam,cdimancheo@loc.gov,Christiana Dimanche,56.127.168.234,$61010.56,6/14/2018
26,Zoovu,74 Spohn Circle,,Ukraine,pbingleyp@bbc.co.uk,Penny Bingley,251.171.87.200,$56776.80,5/3/2018
27,Podcat,5 Morning Road,,Zambia,sfearbyq@altervista.org,Stevy Fearby,162.18.98.196,$30843.07,12/13/2017
28,Chatterpoint,0 Michigan Avenue,,China,wnellenr@mit.edu,Walliw Nellen,155.186.205.45,$2107.41,8/15/2018
29,Oyoba,2009 Ludington Lane,,Indonesia,lalfonzos@indiatimes.com,Lazar Alfonzo,60.88.232.88,$79968.93,11/12/2017
30,Meedoo,68 Toban Drive,,Peru,mhouset@webnode.com,Mannie House,45.142.159.212,$45444.05,7/20/2018
31,Mycat,2 Debs Point,,China,kredmanu@addtoany.com,Kora Redman,105.45.158.108,$44624.68,7/12/2018
32,Demizz,4 Prairieview Drive,,Albania,bjulienv@bandcamp.com,Benedikta Julien,12.209.4.192,$22427.90,4/16/2018
33,Jayo,02 Beilfuss Point,,Indonesia,fpassiew@ed.gov,Frederick Passie,11.162.51.236,$41047.90,5/13/2018
34,Skaboo,3901 Shelley Avenue,Pennsylvania,United States,hberlingx@cocolog-nifty.com,Hedwiga Berling,39.188.136.149,$39821.59,2/24/2018
35,Tagchat,776 Texas Avenue,,Guatemala,damosy@nytimes.com,Darbie Amos,249.175.67.159,$22362.21,2/27/2018
36,Thoughtbridge,8489 Emmet Drive,,China,aweinhamz@g.co,Audrey Weinham,162.142.30.182,$12587.50,3/3/2018
37,Kanoodle,2 Fieldstone Terrace,,Georgia,hmaltby10@webnode.com,Hashim Maltby,173.189.151.6,$88556.21,7/4/2018
38,Rhyloo,20 Bultman Street,Viseu,Portugal,sklug11@whitehouse.gov,Shell Klug,237.245.108.57,$52731.00,2/9/2018
39,Rhybox,15280 Oneill Pass,Aveiro,Portugal,bfidal12@liveinternet.ru,Bria Fidal,82.16.141.159,$29792.89,8/6/2018
40,Skipfire,369 Valley Edge Lane,,China,pmacgow13@sitemeter.com,Pearce MacGow,159.193.103.188,$87267.26,3/14/2018
41,Bluezoom,7 Hintze Pass,,Brazil,kespinola14@auda.org.au,Kale Espinola,106.236.95.102,$75478.10,6/15/2018
42,Wordware,5080 Ohio Circle,,Brazil,lmaywood15@webmd.com,Loralee Maywood,240.184.106.179,$54371.52,4/3/2018
43,Innotype,88 Superior Lane,Tennessee,United States,rpeasee16@hubpages.com,Rahel Peasee,132.25.179.91,$88922.58,11/1/2017
44,Wikizz,4 Valley Edge Court,Porto,Portugal,sdavern17@shareasale.com,Stanly Davern,110.55.138.108,$27998.15,2/17/2018
45,Zoozzy,5 Morning Plaza,,Slovenia,sklaassens18@msn.com,Shannon Klaassens,219.35.51.154,$15872.24,8/18/2018
46,Quire,008 Monterey Junction,British Columbia,Canada,pkilius19@moonfruit.com,Pattie Kilius,24.165.230.238,$63444.59,7/5/2018
47,Quinu,62942 Autumn Leaf Pass,,Russia,dpennock1a@simplemachines.org,Drew Pennock,82.119.239.111,$96739.49,5/19/2018
48,Brainbox,2952 Pearson Road,,China,mcastiglio1b@tmall.com,Maxine Castiglio,27.87.255.5,$40454.75,4/6/2018
49,Jabberstorm,8350 Westport Terrace,,Panama,sslaght1c@tiny.cc,Stephanie Slaght,113.172.230.225,$9727.21,1/23/2018
50,Yakitri,4030 Esker Park,,Philippines,sdran1d@yelp.com,Skipper Dran,45.185.216.204,$16008.57,11/26/2017
51,Thoughtstorm,283 Waubesa Way,Lisboa,Portugal,kglasscott1e@nature.com,Katrina Glasscott,117.26.92.94,$28306.15,12/19/2017
52,Oyonder,87036 Mayfield Road,Braga,Portugal,escothron1f@msn.com,Edeline Scothron,58.40.252.211,$22632.24,4/15/2018
53,Snaptags,4861 Iowa Drive,,Philippines,tdearth1g@vistaprint.com,Toddy Dearth,112.108.40.236,$97765.11,7/23/2018
54,Gigabox,0273 Ridgeway Center,,Latvia,pmullany1h@redcross.org,Paddie Mullany,166.74.137.31,$18246.71,3/15/2018
55,Topicware,381 2nd Lane,,Tanzania,gmcclounan1i@hibu.com,Gretna McClounan,70.14.90.58,$30027.47,7/12/2018
56,Centimia,667 Logan Way,Picardie,France,ngranville1j@hud.gov,Nels Granville,113.205.198.156,$84974.87,3/29/2018
57,Wikido,7 Thackeray Street,,El Salvador,cmckeurtan1k@seesaa.net,Cammy McKeurtan,198.65.189.78,$20799.82,10/24/2018
